Manufacturer Disclosure Statement for Medical Device Security -- MDS2,,,,,,,,,,,,,
SAHD-6.2,"Does this include restricting certain system or user accounts, such as service technicians, to least privileged access?",Yes,Note 61,,,,SAHD-6.2- Customer account have limited access the OS. Restricted access to files is enforces at the OS and the application level. Patient level access control is supported in the application preventing service from access to patient data.,"Section 5.15, SAHD",CM-7,A.12.5.1*,,,
SAHD-7,"Are all shared resources (e.g., file shares) which are not required for the intended use of the device disabled?",Yes,Note 62,,,,SAHD-7- shared resources are disabled at manufacturing by default. At installation an authorized manufacturer  service technician can activate file share functionality such as mapping to a network drive ,"Section 5.15, SAHD",CM-7,A.12.5.1*,,,
SAHD-8,Are all communication ports and protocols that are not required for the intended use of the device disabled?,No,__,,,,,"Section 5.15, SAHD",SA-18,None,,,
SAHD-9,"Are all services (e.g., telnet, file transfer protocol [FTP], internet information server [IIS], etc.), which are not required for the intended use of the device deleted/disabled?",Yes,Note 63,,,,SAHD-9- The OS is embedded. Un-needed services are not installed or disabled on the image. ,"Section 5.15, SAHD",CM-6,None,,,
SAHD-10,"Are all applications (COTS applications as well as OS-included applications, e.g., MS Internet Explorer, etc.) which are not required for the intended use of the device deleted/disabled?",Yes,Note 64,,,,SAHD-10: Un-needed applications are not installed on the device and in addition the standard user doesn't have access to any OS included applications.,"Section 5.15, SAHD",SI-2,"A.12.6.1, A.14.2.2, A.14.2.3, A.16.1.3",,,
SAHD-11,"Can the device prohibit boot from uncontrolled or removable media (i.e., a source other than an internal drive or memory component)?",Yes,Note 65,,,,SAHD-11- The system is configured to load via the active system drive only,,,,,,
SAHD-12,Can unauthorized software or hardware be installed on the device without the use of physical tools?,No,Note 66,,,,SAHD-12- The customer acount is restricted and cannot install unauthorized software. Unauthorized hardware will not be used by the system.,,,,,,
SAHD-13,Does the product documentation include information on operational network security scanning by users?,No,__,,,,,,,,,,
SAHD-14,Can the device be hardened beyond the default provided state?,No,__,,,,,,,,,,
SAHD-14.1,Are instructions available from vendor for increased hardening?,N/A,__,,,,,,,,,,
SHAD-15,Can the system prevent access to BIOS or other bootloaders during boot?,No,__,,,,,,,,,,
SAHD-16,Have additional hardening methods not included in 2.3.19 been used to harden the device?,No,__,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,SECURITY GUIDANCE (SGUD),,,,,,,IEC TR 80001-2-2:2012,NIST SP 800-53 Rev. 4,ISO 27002:2013,,,
,Availability of security guidance for operator and administrator of the device and manufacturer sales and service.,,,,,,,,,,,,
SGUD-1,Does the device include security documentation for the owner/operator?,Yes,Note 67,,,,The User Manual provides instructions for configuring the application level security settings.,"Section 5.16, SGUD",AT-2/PL-2,"A.7.2.2, A.12.2.1/A.14.1.1",,,
SGUD-2,"Does the device have the capability, and provide instructions, for the permanent deletion of data from the device or media? ",No,__,,,,,"Section 5.16, SGUD",MP-6,"A.8.2.3, A.8.3.1, A.8.3.2, A.11.2.7",,,
SGUD-3,Are all access accounts documented?,Yes,__,,,,,"Section 5.16, SGUD","AC-6,IA-2","A.9.1.2, A.9.2.3, A.9.4.4, A.9.4.5/A.9.2.1",,,
SGUD-3.1,Can the owner/operator manage password control for all accounts?,N/A,Note 68,,,,Remote access is only possible through BRiCare when actively approved by owner/operator at the time of connection.,,,,,,
SGUD-4,Does the product include documentation on recommended compensating controls for the device?,Yes,Note 69,,,,The User Manual includes a Cybersecurity Policy which details the cybersecurity features employed and recommended actions by the owner/operator to minimize cybersecurity risk.,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,HEALTH DATA STORAGE CONFIDENTIALITY (STCF),,,,,,,IEC TR 80001-2-2:2012,NIST SP 800-53 Rev. 4,ISO 27002:2013,,,
,The ability of the device to ensure unauthorized access does not compromise the integrity and confidentiality of personally identifiable information stored on the device or removable media.,,,,,,,,,,,,
STCF-1,Can the device encrypt data at rest? ,No,__,,,,,"Section 5.17, STCF",SC-28,A.8.2.3,,,
STCF-1.1,Is all data encrypted or otherwise protected?,See Notes,Note 70,,,,"STCF-1.1: Encrypted access to database.
The software can be configured to omit PII data to/from LIS communication or export and print demographics.  
The software is configured to backup without demographic for un-authorized users(FSEs).",,,,,,
STCF-1.2,Is the data encryption capability configured by default? ,No,__,,,,,,,,,,
STCF-1.3,Are instructions available to the customer to configure encryption?,N/A,__,,,,,,,,,,
STCF-2,Can the encryption keys be changed or configured?,N/A,__,,,,,"Section 5.17, STCF",SC-28,A.8.2.3,,,
STCF-3,Is the data stored in a database located on the device? ,Yes,__,,,,,,,,,,
STCF-4,Is the data stored in a database external to the device?,No,__,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,TRANSMISSION CONFIDENTIALITY (TXCF),,,,,,,IEC TR 80001-2-2:2012,NIST SP 800-53 Rev. 4,ISO 27002:2013,,,
,The ability of the device to ensure the confidentiality of transmitted personally identifiable information.,,,,,,,,,,,,
TXCF-1,Can personally identifiable information be transmitted only via a point-to-point dedicated cable?,See Notes,Note 71,,,,TXCF-1: Personally identifiable information can be transmitted by/to LIS via RS-232 which is a point-to-point dedicated cable. PII data can be omitted for LIS transmitions and can be de-identified for Backup and  export.,"Section 5.18, TXCF",CM-7,A.12.5.1,,,
TXCF-2,Is personally identifiable information encrypted prior to transmission via a network or removable media? ,No,__,,,,,"Section 5.18, TXCF",CM-7,A.12.5.1,,,
TXCF-2.1,"If data is not encrypted by default, can the customer configure encryption options?",No,__,,,,,,,,,,
TXCF-3,Is personally identifiable information transmission restricted to a fixed list of network destinations?,Yes,Note 72,,,,"TXCF-3: Only a dedicated mapped drive set up by authorized service and Lab admin with permissions given to the device user can be used for transmission of data(reports, backup) to the network.","Section 5.18, TXCF",CM-7,A.12.5.1,,,
TXCF-4,Are connections limited to authenticated systems?,Yes,Note 73,,,,TXCF-4: File share requires specific lab admin authorization and an authorized manfucturer service technician setting for a specific target location. LIS communication is serial over CLSI authentication protocol.,"Section 5.18, TXCF",CM-7,A.12.5.1,,,
TXCF-5,"Are secure transmission methods supported/implemented (DICOM, HL7, IEEE 11073)?",See Notes,Note 74,,,,TXCF-5 - LIS communication via CLSI protocol,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,TRANSMISSION INTEGRITY (TXIG),,,,,,,IEC TR 80001-2-2:2012,NIST SP 800-53 Rev. 4,ISO 27002:2013,,,
,The ability of the device to ensure the integrity of transmitted data.,,,,,,,,,,,,
TXIG-1,"Does the device support any mechanism (e.g., digital signatures) intended to ensure data is not modified during transmission?",Yes,Note 75,,,,TXIG-1: When PII data is received from LIS a check sum is used for verifying the integrity of the data. Digital signature is used.,"Section 5.19, TXIG",SC-8,"A.8.2.3, A.13.1.1, A.13.2.1, A.13.2.3, A.14.1.2, A.14.1.3",,,
TXIG-2,Does the device include multiple sub-components connected by external cables?,No,__,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,REMOTE SERVICE (RMOT),,,,,,,IEC TR 80001-2-2:2012,NIST SP 800-53 Rev. 4,ISO 27002:2013,,,
,Remote service refers to all kinds of device maintenance activities performed by a service person via network or other remote connection. ,,,,,,,,,,,,
RMOT-1,Does the device permit remote service connections for device analysis or repair?,Yes,Note 76,,,,"RMOT-1: Remote support is only available to Bio-Rad-authorized personnel, using the Bio-Rad BRiCare remote support application, and only if the BRiCare applet is installed on the device.",,AC-17,"A.6.2.1, A.6.2.2, A.13.1.1, A.13.2.1, A.14.1.2",,,
RMOT-1.1,Does the device allow the owner/operator to initiative remote service sessions for device analysis or repair? ,No,__,,,,,,,,,,
RMOT-1.2,Is there an indicator for an enabled and active remote session? ,Yes,Note 77,,,,RMOT-1.2: The local user must accept BRiCare remote access sessions.,,,,,,
RMOT-1.3,Can patient data be accessed or viewed from the device during the remote session?,See Notes,Note 78,,,,"RMOT-1.3- When logged-in as an FSE, PII is not accessable. For customer login the local user is asked to hide PII before the remote session starts ",,AC-17,"A.6.2.1, A.6.2.2, A.13.1.1, A.13.2.1, A.14.1.2",,,
RMOT-2,Does the device permit or use remote service connections for predictive maintenance data?,Yes,Note 79,,,,"RMOT-2: The instrument sends instrument status information to Bio-Rad via BRiCare, if installed.",,,,,,
RMOT-3,"Does the device have any other remotely accessible functionality (e.g. software updates, remote training)?",Yes,Note 80,,,,RMOT-3: BRiCare remote sessions can be used for training and for software updates.,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,OTHER SECURITY CONSIDERATIONS (OTHR),,,,,,,IEC TR 80001-2-2:2012,NIST SP 800-53 Rev. 4,ISO 27002:2013,,,
 ,NONE,,,,,,,,,,,,
 ,,,,,,,,,,,,,
,Notes:,,,,,,,,,,,,
 ,,,,,,,,,,,,,
Note #,Example note.  Please keep individual notes to one cell.  Please use separate notes for separate information,,,,,,,,,,,,
Note 1,"DOC-10 - 
LIS communication requires RS 232 connection.
Communication with Track system requries RS 232 connection
Remote support can be done using BRiCare via SSL connection (port 443).
Database is onboard and uses secure connection
USB external drive and mapped network drives can be used for exporting allowed data from the instrument.
See network diagram for more details",,,,,,,,,,,,
Note 2,"MPII-1 - 1. Private data is available only onboard and by GUI, reports and LIS (according to configuration)
a. The software can be configured to not send demographics to LIS or export and print demographics.  
b. The software is configured to backup without demographics for un-authorized users(FSEs)",,,,,,,,,,,,
Note 3,MPII-2.2 - Saved in pesrsitent DB,,,,,,,,,,,,
Note 4,MPII -2.6 - LIS orders and results can contain PID information according to settings,,,,,,,,,,,,
Note 5,MPII-2.9 - PID information can be stored on portable usb devices and lab shared network folder,,,,,,,,,,,,
Note 6,MPII-3 - via LIS communication PID information can be transmitted. The system can be configured to omit the PID information,,,,,,,,,,,,
Note 7,MPII-3.4- LIS communication uses RS-232,,,,,,,,,,,,
Note 8,"MPII- 3.5 - Database backups, PDF reports can be saved on shared network drive via network connection (RJ45). Backups can be read from a network connection",,,,,,,,,,,,
Note 9,MPII-3.9 Transmission to/from LIS via ASTM protocol. Transmission to Track system via proprietery LATS protocol,,,,,,,,,,,,
Note 10,ALOF-2 -  Configuration screen available for setting the auto-logoff time. ,,,,,,,,,,,,
Note 11,"AUDT-1- Audit trail is available as activity log with various audit types such as HW and system states and conditions, user actions such as login, errors and faults. 
Patient and result data are not audited. ",,,,,,,,,,,,
Note 12,AUDT -1.1- Audit trail include operator name for audited manual operations,,,,,,,,,,,,
Note 13,"AUDT-2.6 - Some changes are tracked such as user data, QC lots parameters, barcode change  (unread barcode)",,,,,,,,,,,,
Note 14,"AUDT- 2.7 - The system can restore/backup a database backup from/to a removable media or network drive.
The System can export reports to removeable media",,,,,,,,,,,,
Note 15,"AUDT - 2.8.1 - Remote support is available via BRICare, which has its own audit logs",,,,,,,,,,,,
Note 16,AUDT-2.11 - The User Manual provide more details for the dfferent audit entries,,,,,,,,,,,,
Note 17,AUDT-4 - The User Manual provide more details for the dfferent audit entries,,,,,,,,,,,,
Note 18,AUDT 4.1.1 Audit trail events date and time are synchronized with Windows OS.,,,,,,,,,,,,
Note 19,AUDT-5.3- Bricare can collect the audit log,,,,,,,,,,,,
Note 20,AUDT-7- Stored in a password protected database,,,,,,,,,,,,
Note 21,AUDT-7- Stored in a password protected database,,,,,,,,,,,,
Note 22, AUTH - 1 - User login to the OS is perfomed with OS authentication. In addition the software is protected with a login screen with user and password. ,,,,,,,,,,,,
Note 23," AUTH - 2 -  Each user gets permissions according to his role in the system(Level 1, Level 2, admin etc.).  The available and visible functionality is defined per role.",,,,,,,,,,,,
Note 24,AUTH - 3 - The lab user doesn't have access to the OS. Customer IT could have very limited permissions to the OS (Install security updates). These permissions cannot be altered by the user.,,,,,,,,,,,,
Note 25,AUTH -5 - The system loads with Windows standard user with restricted user permissions. The application hides Windows and doesn't allow access to the OS from the lab user. ,,,,,,,,,,,,
Note 26,CSUP-2.2- A customer IT user is available and can install Windows security updates approved by Bio-Rad,,,,,,,,,,,,
Note 27,"CSUP-2.3: Patches can only be applied remotely by Bio-Rad authorized personnel using BRiCare, if installed.",,,,,,,,,,,,
Note 28,CSUP-3.3- Remote installation can only be performed via BRiCare,,,,,,,,,,,,
Note 29,CSUP-4-  AppLocker is installed. Cylance can be added.,,,,,,,,,,,,
Note 30,"CSUP-5.3- Yes, only via BRiCare",,,,,,,,,,,,
Note 31,CSUP-11.2: Windows patches are assessed and validated quarterly.,,,,,,,,,,,,
Note 32,"DIDT-1- PII data can be deidentified for a database backup, export and reports",,,,,,,,,,,,
Note 33,IGUA - 1 - The data is protected by persistent database with encrypted connection per instrument. When demographic data is received from LIS a check sum is used for verifiting the integrity of the data. Some of the data is structured  in manner that a potential un-autorized change would trigger an error in the system.,,,,,,,,,,,,
Note 34,MLDP - 2- App Locker is used as on-board security protection for malware. Cylance can installed,,,,,,,,,,,,
Note 35,MLDP-2.1- AppLocker,,,,,,,,,,,,
Note 36,MLDP-2.2- Cylance as an option,,,,,,,,,,,,
Note 37,"MLDP-2.8: Only anti-malware that is approved and configured by Bio-Rad may be installed.  It may only be installed by Bio-Rad-authorized personnel.""",,,,,,,,,,,,
Note 38,MLDP-4: AppLocker whitelisting is configured.,,,,,,,,,,,,
Note 39,"NAUT-1 - Shared files, Remote support are the only connections that are not serial and both rely on the lab node authentication",,,,,,,,,,,,
Note 40," CONN-1 - USB, Network card, Serial port - RS232",,,,,,,,,,,,
Note 41,CONN-2: User Manual,,,,,,,,,,,,
Note 42,"CONN -3- LIS, Track system
See connectivity diagram. ",,,,,,,,,,,,
Note 43,"CONN-4- BRiCare, or Cylance (if installed in connected mode)",,,,,,,,,,,,
Note 44,"CONN-6: Only for remote support using BRiCare, and for optional Cylance connectivity",,,,,,,,,,,,
Note 45,CONN-8: Remote control is available only for service by Bio-Rad-authorized personnel using BRiCare,,,,,,,,,,,,
Note 46,"PAUT-1- Unique IDs and passwords for user login is supported at the OS level and the application level.
Service password is shared for FSEs. ",,,,,,,,,,,,
Note 47,PAUT-5- Customer account password can be changed. Service password cannot be changed,,,,,,,,,,,,
Note 48,PAUT-6: Password complexity is supported.,,,,,,,,,,,,
Note 49,PAUT-7: Password expiration is supported,,,,,,,,,,,,
Note 50,PAUT-9: Device cannot use the customer's Active Directory. ,,,,,,,,,,,,
Note 51,PAUT-14: Authentication credentials are supported at the level of the OS and Application software,,,,,,,,,,,,
Note 52,PAUT-14.1: Hash and encryption are used for securing credentials,,,,,,,,,,,,
Note 53,RDMP-1: Software development is compliant with IEC 62304.,,,,,,,,,,,,
Note 54,RDMP-3-Approved patch information on www.bio-rad.com.,,,,,,,,,,,,
Note 55,"RDMP-4- The D-100 is updated typically every 1-2 years to remain current with supported software, hardware and to introduce new features and improvements.
All updates to software, firmware, hardware and chemistry are risk assessed, verified and validated.
QA is performed throughout the development process in accordance with ISO 13485 Medical devices Quality management systems and 62304 Medical device software - Software lifecycle process.",,,,,,,,,,,,
Note 56,"SBOM-1:  
Microsoft Windows 10 LTSB 64 bit
Microsoft SQL Server 2014 SP3",,,,,,,,,,,,
Note 57,"SBOM-2:  The table in SBOM-1 note gives Name, manufacturer, and version.",,,,,,,,,,,,
Note 58,"SAHD-1- The instrument works in Kiosk mode with a limited access Windows login. AppLocker, security policy and Windows shell are used to harden the system.",,,,,,,,,,,,
Note 59,SAHD-5- Customer account have limited access the OS. Restricted access to files is enforces at the OS and the application level. Patient level access control is supported in the application preventing service from access to patient data.,,,,,,,,,,,,
Note 60,SAHD-6- Customer Windows login is restricted. Customer IT login allows only installation of approved Windows security updates,,,,,,,,,,,,
Note 61,SAHD-6.2- Customer account have limited access the OS. Restricted access to files is enforces at the OS and the application level. Patient level access control is supported in the application preventing service from access to patient data.,,,,,,,,,,,,
Note 62,SAHD-7- shared resources are disabled at manufacturing by default. At installation an authorized manufacturer  service technician can activate file share functionality such as mapping to a network drive ,,,,,,,,,,,,
Note 63,SAHD-9- The OS is embedded. Un-needed services are not installed or disabled on the image. ,,,,,,,,,,,,
Note 64,SAHD-10: Un-needed applications are not installed on the device and in addition the standard user doesn't have access to any OS included applications.,,,,,,,,,,,,
Note 65,SAHD-11- The system is configured to load via the active system drive only,,,,,,,,,,,,
Note 66,SAHD-12- The customer acount is restricted and cannot install unauthorized software. Unauthorized hardware will not be used by the system.,,,,,,,,,,,,
Note 67,The User Manual provides instructions for configuring the application level security settings.,,,,,,,,,,,,
Note 68,Remote access is only possible through BRiCare when actively approved by owner/operator at the time of connection.,,,,,,,,,,,,
Note 69,The User Manual includes a Cybersecurity Policy which details the cybersecurity features employed and recommended actions by the owner/operator to minimize cybersecurity risk.,,,,,,,,,,,,
Note 70,"STCF-1.1: Encrypted access to database.
The software can be configured to omit PII data to/from LIS communication or export and print demographics.  
The software is configured to backup without demographic for un-authorized users(FSEs).",,,,,,,,,,,,
Note 71,TXCF-1: Personally identifiable information can be transmitted by/to LIS via RS-232 which is a point-to-point dedicated cable. PII data can be omitted for LIS transmitions and can be de-identified for Backup and  export.,,,,,,,,,,,,
Note 72,"TXCF-3: Only a dedicated mapped drive set up by authorized service and Lab admin with permissions given to the device user can be used for transmission of data(reports, backup) to the network.",,,,,,,,,,,,
Note 73,TXCF-4: File share requires specific lab admin authorization and an authorized manfucturer service technician setting for a specific target location. LIS communication is serial over CLSI authentication protocol.,,,,,,,,,,,,
Note 74,TXCF-5 - LIS communication via CLSI protocol,,,,,,,,,,,,
Note 75,TXIG-1: When PII data is received from LIS a check sum is used for verifying the integrity of the data. Digital signature is used.,,,,,,,,,,,,
Note 76,"RMOT-1: Remote support is only available to Bio-Rad-authorized personnel, using the Bio-Rad BRiCare remote support application, and only if the BRiCare applet is installed on the device.",,,,,,,,,,,,
Note 77,RMOT-1.2: The local user must accept BRiCare remote access sessions.,,,,,,,,,,,,
Note 78,"RMOT-1.3- When logged-in as an FSE, PII is not accessable. For customer login the local user is asked to hide PII before the remote session starts ",,,,,,,,,,,,
Note 79,"RMOT-2: The instrument sends instrument status information to Bio-Rad via BRiCare, if installed.",,,,,,,,,,,,
Note 80,RMOT-3: BRiCare remote sessions can be used for training and for software updates.,,,,,,,,,,,,
,,,,,,,,,,,,,